index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
597	21	4	B2-A2	B2-A1	0.9861932939	0.4930966469	2.262	1.513	1.576	1.264	3.838	2.777	6	6	0.592	2.48	5.07	4.056	5	2	0	1	TRUE	TRUE
598	23	22	B2-A2	B2-A1	1.3806706114	0.4930966469	2.184	2.746	0.92	1.263	3.104	4.009	6	6	1.092	3.12	5.07	4.056	7	2	0	0	TRUE	TRUE
599	29	27	B2-A2	B2-A1	1.1834319527	1.5779092702	2.621	1.263	1.014	1.607	3.635	2.87	6	6	0.67	1.669	5.07	5.07	6	8	0	0	TRUE	FALSE
600	34	33	B2-A2	B2-A1	1.1834319527	0.5917159763	1.123	1.358	0.967	2.246	2.09	3.604	6	6	0.718	2.777	5.07	5.07	6	3	0	0	TRUE	FALSE
601	16	2	A1-B1	A1-B2	1.5779092702	0.4930966469	0.624	3.23	1.919	1.014	2.543	4.244	6	6	0.499	3.245	5.07	4.056	8	2	0	0	TRUE	TRUE
602	22	15	A1-B1	A1-B2	1.3806706114	0	1.638	1.248	1.388	1.997	3.026	3.245	6	6	0.514	NA	5.07	4.056	7	0	0	0	TRUE	TRUE
603	23	26	A1-B1	A1-B2	0.9861932939	0.2465483235	1.092	1.544	1.17	1.342	2.262	2.886	6	6	1.107	3.447	5.07	4.056	5	1	0	0	TRUE	TRUE
604	35	32	A1-B1	A1-B2	1.1834319527	0	0.811	0.827	1.326	1.232	2.137	2.059	6	6	0.546	NA	5.07	4.056	6	0	0	0	TRUE	TRUE
605	38	33	A1-B1	A1-B2	1.1834319527	1.1834319527	1.825	1.186	1.544	1.232	3.369	2.418	6	6	0.655	1.654	5.07	5.07	6	6	0	0	TRUE	FALSE
606	3	8	A2-B2	A2-B1	0.5917159763	0.2465483235	1.248	2.465	1.56	3.729	2.808	6.194	6	6	0.764	0.578	5.07	4.056	3	1	0	0	TRUE	TRUE
607	12	11	A2-B2	A2-B1	1.1834319527	0.4930966469	1.279	1.31	1.544	2.621	2.823	3.931	6	6	0.764	3.541	5.07	4.056	6	2	0	0	TRUE	TRUE
608	18	14	A2-B2	A2-B1	1.3806706114	1.775147929	2.137	3.401	1.295	1.404	3.432	4.805	6	6	0.764	2.168	5.07	5.07	7	9	0	1	TRUE	FALSE
609	24	25	A2-B2	A2-B1	0.9861932939	0.7889546351	1.997	1.092	1.294	1.357	3.291	2.449	6	6	0.531	2.231	5.07	5.07	5	4	0	0	TRUE	FALSE
610	27	39	A2-B2	A2-B1	1.1834319527	0.2465483235	1.451	1.466	1.248	1.576	2.699	3.042	6	6	0.718	2.465	5.07	4.056	6	1	0	0	TRUE	TRUE
611	6	19	B1-A1	B1-A2	1.3806706114	0.4930966469	1.373	1.607	1.217	1.653	2.59	3.26	6	6	0.873	1.248	5.07	4.056	7	2	0	0	TRUE	TRUE
612	9	20	B1-A1	B1-A2	1.1834319527	0	1.514	3.042	1.638	4.04	3.152	7.082	6	6	0.733	NA	5.07	4.056	6	0	0	2	TRUE	TRUE
613	13	29	B1-A1	B1-A2	1.1834319527	0.4930966469	3.728	6.115	1.56	1.217	5.288	7.332	6	6	0.624	0.999	5.07	4.056	6	2	0	0	TRUE	TRUE
